A_Name_Ch	A_Summary	A_Keywords	A_AlsoKnown	A_Geo	A_Location	A_POIGroup	A_Name_En	A_Name_Latin	A_Phylum	A_Class	A_Order	A_Family	A_Conservation	A_Distribution	A_Habitat	A_Feature	A_Behavior	A_Diet	A_Crisis	A_Interpretation	A_Theme_Name	A_Theme_URL	A_Adopt	A_Code	A_Pic01_ALT	A_Pic01_URL	A_Pic02_ALT	A_Pic02_URL	A_Pic03_ALT	A_Pic03_URL	A_Pic04_ALT	A_Pic04_URL	A_pdf01_ALT	A_pdf01_URL	A_pdf02_ALT	A_pdf02_URL	A_Voice01_ALT	A_Voice01_URL	A_Voice02_ALT	A_Voice02_URL	A_Voice03_ALT	A_Voice03_URL	A_Vedio_URL	A_Update	A_CID
家豬				MULTIPOINT ((121.5821327 24.9989244))	兒童動物區		Domestic Pig	Sus scrofa domestica	脊索動物門	哺乳綱	偶蹄目	野豬科		全世界			剛出生的豬寶寶會爬到豬媽媽身旁吸奶，幾天後便會固定吸吮屬於自己的乳頭，這是一種天生的領域行為。 ◎豬很聰明，某些品種的家豬可以訓練成為家中的寵物。 ◎豬缺乏汗腺，無法藉流汗散熱，所以喜歡在泥水中打滾消暑。 ◎豬的嗅覺很好，在歐洲人們會利用家豬來尋找珍貴的松露。 ◎豬因為雜食與多產，因此很早就被人類馴養當作家畜，成為提供人類肉品的重要來源之一。 ◎在醫學上，因為豬的某些生理和人類非常相似，所以被選為進行實驗研究的對象，例如：利用豬進行心臟血管疾病之研究等。	雜食性						Pig																				2015-06-03	29
家驢				MULTIPOINT ((121.5823366 24.9995479))	兒童動物區		Domestic Donkey	Equus asinus	脊索動物門	哺乳綱	奇蹄目	馬科		野生驢只在北非和阿拉伯半島，馴化驢則全世界都有。		大頭、長耳朵、像牛尾的尾巴。有白、黑、灰褐、斑點、條紋等毛色的變化。	◎驢受到驚嚇時不會像馬四處衝撞，只會不動或稍微移動，確定到底發生什麼事情。 ◎驢的個性小心謹慎，只要牠覺得危險就會拒絕去做。但馴化的家驢則會非常順從的接受合理的命令。 ◎家驢會和牧場裡的其他動物良性互動。例如驢有極力護幼的天性，所以常會被馴練來保護綿羊、山羊等，即使威脅者是大型犬，甚至人類，也會毫不猶豫發動攻擊。			來幫家驢 梳梳毛 家驢會和牧場裡的其他動物良性互動。例如驢有極力護幼的天性，所以常會被馴練來保護綿羊、山羊等，即使威脅者是大型犬，甚至人類，也會毫不猶豫發動攻擊。驢的平和真誠性情，對緊張、受傷或衰弱的動物產生減壓的特效。這種性情，也非常適合成為孩童或是身心障礙者的騎乘良伴。 驢不是固執而是小心謹慎，只要牠覺得危險就會拒絕去做。但馴化的家驢則會非常順從的接受合理的命令。 驢受到驚嚇時不會像馬四處衝撞，只會不動或稍微移動，確定到底發生什麼事情。 				Donkey	家驢	http://www.zoo.gov.tw/iTAP/03_Animals/ChildrenArea/Donkey/Donkey_Pic01.jpg	家驢	http://www.zoo.gov.tw/iTAP/03_Animals/ChildrenArea/Donkey/Donkey_Pic02.jpg	家驢	http://www.zoo.gov.tw/iTAP/03_Animals/ChildrenArea/Donkey/Donkey_Pic03.jpg	家驢	http://www.zoo.gov.tw/iTAP/03_Animals/ChildrenArea/Donkey/Donkey_Pic04.jpg												2015-06-03	30
迷你馬				MULTIPOINT ((121.5824398 24.999554))	兒童動物區		Pony	Equus pony_mule	脊索動物門	哺乳綱	奇蹄目	馬科		歐洲等地		◎ 迷你馬和一般馬的不同，可以從牠們的身體比例和身高明顯矮小等特徵上觀察到。 ◎ 馬是吃草的動物，但是和牛羊不一樣，牠不會反芻。 ◎ 迷你馬其實就是所謂的小型馬，體型比一般馬矮小，肩高約100至150公分，肩高矮於86公分的是另外稱為Miniature horse的迷你馬。	◎ 沒有經過專業訓練的迷你馬，情緒比較難以捉摸，容易踢或咬傷飼主或旁人。	草食性						Pony	迷你馬	http://www.zoo.gov.tw/iTAP/03_Animals/ChildrenArea/Pony/Pony_Pic01.jpg	迷你馬	http://www.zoo.gov.tw/iTAP/03_Animals/ChildrenArea/Pony/Pony_Pic02.jpg	迷你馬	http://www.zoo.gov.tw/iTAP/03_Animals/ChildrenArea/Pony/Pony_Pic03.jpg	迷你馬	http://www.zoo.gov.tw/iTAP/03_Animals/ChildrenArea/Pony/Pony_Pic04.jpg												2015-06-03	31
黃牛				MULTIPOINT ((121.5821166 24.9990131))	兒童動物區		Domestic Cattle	Bos taurus	脊索動物門	哺乳綱	偶蹄目	牛科		原產北美洲、歐洲和南亞，馴養黃牛則分佈全世界		體型大而且健壯，公黃牛常被馴練成搬運貨物或耕田犛地的好幫手。 ◎脖子短，下巴下方有垂肉，角比水牛短。 ◎牛是一種反芻動物，總共有四個胃，可以將難消化的草和木質植物發酵、分解和利用。	黃牛是群居的動物，牛群會利用化學訊號、視覺線索、接觸或聲音傳遞訊息。 每個牛群由一隻優勢公牛領導，並有所謂的制度，位階低者必須臣服於優勢者下，小牛直接承襲母牛的位階。只有領導公牛有和群內母牛交配權，大部分小牛在春天出生，除了母親，其他母牛也會協助照顧。	草食性						Cattle	黃牛	http://www.zoo.gov.tw/iTAP/03_Animals/ChildrenArea/Cattle/Cattle_Pic01.jpg	黃牛	http://www.zoo.gov.tw/iTAP/03_Animals/ChildrenArea/Cattle/Cattle_Pic02.jpg	黃牛	http://www.zoo.gov.tw/iTAP/03_Animals/ChildrenArea/Cattle/Cattle_Pic03.jpg	黃牛	http://www.zoo.gov.tw/iTAP/03_Animals/ChildrenArea/Cattle/Cattle_Pic04.jpg												2015-06-03	32
黑白疣猴				MULTIPOINT ((121.5822239 24.9993607))	兒童動物區		Eastern Black-and-white Cololus	Colobus guereza	脊索動物門	哺乳綱	靈長目	獼猴科		奈及利亞東南部、衣索比亞、坦尚尼亞	樹棲性		白天活動，常在最高的樹冠層活動，人們在地面只能看到牠的黑白長尾在枝葉間晃動。黑白疣猴是群居的動物，每一群約10-25隻，彼此間關係非常密切，由1隻成猴擔任領導，群中獼猴們會互相幫忙照顧幼猴，剛出生的幼猴是純白色，3個月後才會有黑白分明的毛色。	樹葉為主食						Colobus	黑白疣猴	http://www.zoo.gov.tw/iTAP/03_Animals/ChildrenArea/Colobus/Colobus_Pic01.jpg	黑白疣猴	http://www.zoo.gov.tw/iTAP/03_Animals/ChildrenArea/Colobus/Colobus_Pic02.jpg	黑白疣猴	http://www.zoo.gov.tw/iTAP/03_Animals/ChildrenArea/Colobus/Colobus_Pic03.jpg	黑白疣猴	http://www.zoo.gov.tw/iTAP/03_Animals/ChildrenArea/Colobus/Colobus_Pic04.jpg												2015-06-03	33
黑掌蜘蛛猴				MULTIPOINT ((121.5823326 24.9994179))	兒童動物區				脊索動物門	哺乳綱	靈長目													SpiderMonkey-BH																				2015-06-03	34
黑蜘蛛猴				MULTIPOINT ((121.5822789 24.9994227))	兒童動物區		Black Spider Monkey	Ateles paniscus	脊索動物門	哺乳綱	靈長目	捲尾猴科		巴西，法屬圭亞那，圭亞那，蘇里南		尾巴可以執握東西，常會看到牠用一隻腳和尾巴懸掛在樹枝上，就像第5隻手一樣。	牠們屬於「分裂與融合」類型的社會，通常5隻成年雄猴、15隻成年雌猴、未成年猴及幼猴共同組成數個小團體各自活動，但又會為保衛領域聚集在一起。	水果、樹葉，花及昆蟲						SpiderMonkey-B	黑蜘蛛猴	http://www.zoo.gov.tw/iTAP/03_Animals/ChildrenArea/SpiderMonkey-B/SpiderMonkey-B_Pic01.jpg	黑蜘蛛猴	http://www.zoo.gov.tw/iTAP/03_Animals/ChildrenArea/SpiderMonkey-B/SpiderMonkey-B_Pic02.jpg	黑蜘蛛猴	http://www.zoo.gov.tw/iTAP/03_Animals/ChildrenArea/SpiderMonkey-B/SpiderMonkey-B_Pic03.jpg	黑蜘蛛猴	http://www.zoo.gov.tw/iTAP/03_Animals/ChildrenArea/SpiderMonkey-B/SpiderMonkey-B_Pic04.jpg												2015-06-03	35
絨鼠				MULTIPOINT ((121.5824023 24.9992805))	兒童動物區		Chinchilla	Chinchilla laniger	脊索動物門	哺乳綱	齧齒目	絨鼠科		生活在智利北方的安地斯山脈	3000~5000公尺山區的岩石縫隙和亂石堆中	每個毛孔長有60~80根毛，使寄生蟲不易生存；貓狗每個毛孔只有2-3根毛	群居，黃昏期間活動；喜歡乾燥涼爽的環境，喜歡沙浴，利用細砂去除皮脂腺分泌的大量油脂。絨鼠的防禦技能--噴尿或在被咬時脫毛，以跳躍方式快速逃跑。牠們善於跳躍，能跳到1.8米高。受驚時發出較長的像哭一樣的警報聲，憤怒時發出像蛇一樣的“嘶嘶”叫聲或“呼嚕呼嚕”的怒吼聲。	種子和灌木的皮、莖、枝為食物	因皮毛柔軟漂亮而遭人類大量捕殺，現族群瀕臨滅絕，目前和老虎、貓熊、犀牛一樣都是屬於「華盛公約列為一級保育動物」	印地安人視其為聖獸、幸運的象徵				Chinchilla	絨鼠	http://www.zoo.gov.tw/iTAP/03_Animals/ChildrenArea/Chinchilla/Chinchilla_Pic01.jpg	絨鼠	http://www.zoo.gov.tw/iTAP/03_Animals/ChildrenArea/Chinchilla/Chinchilla_Pic02.jpg	絨鼠	http://www.zoo.gov.tw/iTAP/03_Animals/ChildrenArea/Chinchilla/Chinchilla_Pic03.jpg	絨鼠	http://www.zoo.gov.tw/iTAP/03_Animals/ChildrenArea/Chinchilla/Chinchilla_Pic04.jpg												2015-06-03	36
中國鱷蜥				MULTIPOINT ((121.5898494 24.9940697))	兩棲爬蟲動物館	兩棲爬蟲動物館	Chinese crocodile lizard	Shinisaurus crocodilurus	脊索動物門	爬蟲綱	有鱗目	異蜥科鱷蜥屬		中國西南部的廣西省金秀瑤族自治縣羅香鄉的幾條山脈，賀縣里松鄉姑婆山、昭平縣九龍、北陀鄉等山區	棲息範圍在東經110度11分-111度20分，北緯23度55分-24度45分之間，海拔高度在750公尺以下的山溝溪谷中。此區氣候溫暖濕潤，年平均的氣溫17.62-19.7℃，年絕對最低溫為-4.2℃，年絕對最高溫34.9-38.8，年降雨量1600-2500	1.鱷蜥體形像蜥蜴，身體呈圓柱狀、尾部側扁如鱷魚。2.雌蜥一般體長32-36㎝，最長可達40㎝；雄蜥一般體長30-33㎝，最長可達35㎝。3.體背為土棕色，頭部與身體的兩側為土棕色並雜有黑紋，由眼睛向周圍呈放射狀射出約8條深色紋，眼後的一條較長，眼睛下方的3條較粗，尾部有黑與棕色的相間橫紋11-12條，因地理分布及環境不同，體色斑紋也有差異	1.喜歡靜伏在離水面1公尺左右，直徑3-7㎝的樹幹或木藤上，四肢緊抱樹幹休息，若受到驚嚇會突然醒來迅速躍入水中，潛藏在岩石下或洞穴裡。2.於每日的晨昏開始活動覓食，除了在繁殖季較為活躍以外平時很少活動。3.當鱷蜥受到威脅時，會立即張口擺出應戰和攻擊的姿勢，當牠立刻咬住獵物時，並不會輕易的放開。在圈養下的鱷蜥容易發生打鬥撕咬的現象，撕咬的過程中容易造成斷尾或斷趾的傷殘者	以活的蛙、蝌蚪、小魚、蠕蟲、昆蟲等為食。每年的6-9月中旬是鱷蜥產地的高溫期，也是牠們開始大量捕食的季節，9月下旬食慾開始減退，食慾是隨著季節氣溫的變化而增減，當氣溫在28-30℃時，食慾最高；氣溫在20℃以下，食慾降低；在17℃以下完全無食慾。鱷蜥一旦飽食後便靜伏不動，就是送到嘴邊的食物也很難引起牠們的食慾。鱷蜥有耐飢餓的能力，30天內未給食也不會死亡		中國鱷蜥 Chinese crocodile lizard ．特徵：體型粗壯，身體呈圓柱狀，頭大呈三角形，眼睛小，背部有縱向的疣狀脊鱗，尾部側扁似鱷魚，尾背面有由大鱗片形成兩列明顯的稜脊。背部為灰褐色或黃褐色，腹部為淺黃色有黑色斑紋，尾部有數條黑褐色橫紋。 ．分布：東亞的中國廣西。生活在多岩石的山區森林的溪流附近。 體長：30-46 cm 食性：節肢動物、環節動物、魚類、兩棲類 習性：日行性、晨昏活動 				Lizard-CC	中國鱷蜥	http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Lizard-CC/Lizard-CC_Pic01.jpg	中國鱷蜥	http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Lizard-CC/Lizard-CC_Pic02.jpg	中國鱷蜥	http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Lizard-CC/Lizard-CC_Pic03.jpg	中國鱷蜥	http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Lizard-CC/Lizard-CC_Pic04.jpg												2015-06-03	37
中部鬍鬚蜥				MULTIPOINT ((121.5898494 24.9940697))	兩棲爬蟲動物館	兩棲爬蟲動物館	Central bearded dragon	Pogona vitticeps	脊索動物門	爬蟲綱	有鱗目	飛蜥科		澳洲的中東部	生活在沙漠、乾燥的草原、灌叢和森林。	體型粗壯扁平，頭部大呈三角形，外耳孔明顯，頭部後面、頸部背面和喉部有大型棘刺狀鱗片，體側有一列規則排列的圓錐狀的棘刺狀突起。身體背部為黃褐色、黃色或紅褐色，上有兩列深褐色不規則的斑紋。	日行性			中部鬍鬚蜥 Central bearded dragon ．特徵：體型粗壯扁平，頭部大呈三角形，外耳孔明顯，頭部後面、頸部背面和喉部有大型棘刺狀鱗片，體側有一列規則排列的圓錐形的棘刺狀突起。身體背部為黃褐色、黃色或紅褐色，上有兩列深褐色不規則的斑紋。 ．分布：澳洲的中東部。生活在沙漠、乾燥的草原、灌叢和森林。 體長：30-56 cm 食性：節肢動物、植物 習性：日行性				Dragon-CB	中部鬍鬚蜥	http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Dragon-CB/Dragon-CB_Pic01.jpg	中部鬍鬚蜥	http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Dragon-CB/Dragon-CB_Pic02.jpg	中部鬍鬚蜥	http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Dragon-CB/Dragon-CB_Pic03.jpg	中部鬍鬚蜥	http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Dragon-CB/Dragon-CB_Pic04.jpg												2015-06-03	38
加州王蛇				MULTIPOINT ((121.5898494 24.9940697))	兩棲爬蟲動物館	兩棲爬蟲動物館	California king snake	Lampropeltis getula californiae	脊索動物門	爬蟲綱	有鱗目	黃頜蛇科		北美洲西南部的美國奧瑞崗，南到墨西哥的巴哈半島。	生活在沙漠、草原、河床地、丘陵、灌叢、森林、溼地和農耕地等環境。	體長1-1.5 m，體型細長，鱗片光滑，體色花紋變化大，由黑色或棕褐色的暗帶與白色或黃色的明帶成環狀相間，有些個體成縱帶相間，腹部為白色上有許多黑色斑紋。	夜行性	哺乳動物、爬蟲類、兩棲類		加州王蛇 California king snake ．特徵：體型細長，鱗片光滑，體色花紋變化大，由黑色或棕褐色的暗帶與白色或黃色的明帶成環狀相間，有些個體成縱帶相間，腹部為白色上有許多黑色斑紋。 Characteristics: It is slender with smooth, glossy body scales. The body is boldly colored and patterned, with black or brown dark bands separated by white or yellow light bands into rings. Some are striped. The belly is white and heavily spotted with black specks. ．分布：北美洲西南部的美國奧瑞崗，南到墨西哥的巴哈半島。生活在沙漠、草原、河床地、丘陵、灌叢、森林、溼地和農耕地等環境。 Distribution: It is found in North America in the Southwestern part of United States, ranging from Oregon to as south as Baja Peninsula of Mexico. It occurs to deserts, grasslands, river bottoms, hills, bushes, forests, wetlands and farmlands.  				Snake-CK																				2015-06-03	39
卡羅萊納箱龜				MULTIPOINT ((121.5898494 24.9940697))	兩棲爬蟲動物館	兩棲爬蟲動物館	Common box turtle	Terrapene carolina	脊索動物門	爬蟲綱	龜鱉目	澤龜科		北美洲的美國東部從密西根州到德州東部和墨西哥東部。	生活在潮濕的森林、草原、牧場、沼澤和沖積平原等環境。	體型小型，背甲高聳呈圓頂狀，腹甲大，胸盾和腹盾有韌帶構造，使龜甲的前、後開口在遇外敵時可以完全閉合。背甲為深褐色，上有黃色或橙色放射狀條紋和斑點，腹甲為黃褐色。	日行性	節肢動物、環節動物、軟體動物、植物節肢動物、環節動物、軟體動物、植物		卡羅萊納箱龜 Common box turtle ．特徵：體型小型，背甲高聳呈圓頂狀，腹甲大，胸盾和腹盾有韌帶構造，使龜甲的前、後開口在遇外敵時可以完全閉合。背甲為深褐色，上有黃色或橙色放射狀條紋和斑點，腹甲為黃褐色。 Characteristics: It is small in size, with a thick, high-domed carapace, and a large plastron. The front and back of the plastron are connected by a flexible hinge, which allows the turtle to close the shell completely when confronted by a predator. The carapace is dark brown in color, and is topped with yellow or orange radiating pattern of lines and spots. The plastron is yellowish brown.  ．分布：北美洲的美國東部從密西根州到德州東部和墨西哥東部。生活在潮濕的森林、草原、牧場、沼澤和沖積平原等環境。 Distribution: It is native to North America and is founded the Eastern part of United States, ranging from Michigan to East Texas and Eastern Mexico. It occurs to moist forests, pastures, ranches, swamps and alluvial plains. 				Turtle-CB																				2015-06-03	40
古巴鬣蜥				MULTIPOINT ((121.5898494 24.9940697))	兩棲爬蟲動物館	兩棲爬蟲動物館	Cuban ground iguana	Cyclura nubila	脊索動物門	爬蟲綱	有鱗目	美洲鬣蜥科		中美洲加勒比海的大安地列斯群島和開曼群島。	生活在乾燥海岸林、紅樹林和多岩石的乾燥環境。	中大型蜥蜴，體型健壯，四肢強壯有力，趾爪細長，頭部大，鼻孔和外耳孔明顯，頸部到背上有發達的脊鱗，具有喉垂，尾巴粗壯，約和身體一樣長。身體為一致的灰黑色或灰褐色，上有黑色的橫紋，腹部為黃褐色。	日行性	植物、節肢動物		古巴鬣蜥Cuban ground iguana ．特徵：中大型蜥蜴，體型健壯，四肢強壯有力，趾爪細長，頭部大，鼻孔和外耳孔明顯，頸部到背上有發達的脊鱗，具有喉垂，尾巴粗壯，約和身體一樣長。身體為一致的灰黑色或灰褐色，上有黑色的橫紋，腹部為黃褐色。 Characteristics: A medium-large lizard with a heavy built, powerful limbs and long claws. It has a large head, conspicuous nostrils and external ear openings, and prominent keeled scales from the neck to its back. It also has a dewlap hanging from the throat, and a stocky tail that’s roughly the same length as its body. Its body color is uniformed to either slate black or grayish brown, and is covered with black diagonal bands. The color on its underside is yellowish brown.  ．分布：中美洲加勒比海的大安地列斯群島和開曼群島。生活在乾燥海岸林、紅樹林和多岩石的乾燥環境。 Distribution: It is native to the Greater Antilles and the Cayman Islands in Central Caribbean and occurs to dry coastal forests, mangroves and rocky, arid environments.  				Iguana-CIG	古巴鬣蜥	http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Iguana-CIG/Iguana-CIG_Pic01.jpg																		2015-06-03	41
四爪陸龜				MULTIPOINT ((121.5898494 24.9940697))	兩棲爬蟲動物館	兩棲爬蟲動物館	Horsfield's tortoise	Testudo horsfieldi	脊索動物門	爬蟲綱	龜鱉目	陸龜科		新疆、哈薩克斯坦、土庫曼斯坦、巴基斯坦、伊朗、阿富汗	棲息於乾燥少雨的草原地帶，海拔700~1000m的黃土丘陵地區	短橢圓形。背甲上黃色，長120~160mm，盾片上有大塊黑色同心斑紋；背甲中央較平，不隆起，前後緣略向外翻卷。腹甲土黃色，盾片上有大塊黑色斑紋。四肢粗壯，有大塊土黃色或黑色鱗片，指（趾）均具4爪.腹盾最大。胸盾及肛盾小，肛盾兩枚。兩盾連接處：胸盾和肛盾相接觸最窄，向外漸寬，灴胸兩端微向前伸		植物		四爪陸龜 Central Asian tortoise ．特徵：體型中小型，背甲為頂部略平坦的半圓球形，寬略小於長，腹甲並無韌帶構造，前、後腳趾均為四爪，尾短且末端有角質的爪狀構造。頭部和四肢均為黃褐色，背甲為黃褐色或橄欖褐色，腹甲為黑色。 ．分布：中亞的俄羅斯裏海經哈薩克到中國新疆，南到伊朗、阿富汗和巴基斯坦。生活在高地乾燥的沙礫、沙漠、岩石丘陵、草原和荒原等環境。 體長：14-22 cm 食性：植物 習性：日行性 				Tortoise-CA																				2015-06-03	42
巨板蜥				MULTIPOINT ((121.5898494 24.9940697))	兩棲爬蟲動物館	兩棲爬蟲動物館	Rough-scaled plated lizard	Gerrhosaurus major	脊索動物門	爬蟲綱	有鱗目	板蜥科		東非和東南非	半乾燥的草原區域	３０－７０公分長，體色為黑色帶黃色斑點。牠的身體上方表面是黃棕色而腹部通常是黑褐色，下巴和喉頭為黃色或淡黃色。身體呈圓柱型，短頭大眼，尾巴通常為體長的兩倍，雖然強壯但是小腿卻比鬣蜥更小。頭部有堅硬的鱗片，體側較低的地方有深溝穿過整個身體，這些深溝的功能為替雌性攜帶所生的蛋或是吃完飯之後身體膨脹所需的空間	巨板蜥是晝行性，被認為是一種害羞的動物，雖然雄性有時會為了勢力範圍互相攻擊。當他受到威脅通常不會用咬的，寧可用板狀的尾巴進行防禦，作為一種逃命的戰術。巨板蜥會奔跑一段距離後突然停止不動，同時揚起牠的尾巴來混淆追捕者。並且將自己擠入空隙中逃脫	雜食性，會吃昆蟲如蟋蟀.粉蟲.粉甲蟲.waxworms.毛蟲和水果香蕉.草莓.甜瓜.桃子.蘋果.蕃茄.連小蛇也吃。在他的食物百分比中，有２０％是新鮮的草料。		巨板蜥 Rough-scaled plated lizard ．特徵：中大型蜥蜴，身體粗壯略為扁平，四肢較短但十分有力。頭部短，吻端圓鈍，眼睛大，外耳孔明顯。全身鱗片方形，上有稜脊，尾部尤其發達，體側有明顯膚褶。身體背部為黃褐色，腹部為淡黃色。 Characteristics: A medium-large lizard with a stocky, slightly flattened body, and short stout limbs. It has a short head, round snout, large eyes, and prominent external ear openings. It is completely covered with square scales, with rows of keeled scales on the back. Its tail is particularly developed. There are noticeable skin folds down the sides of its body. The coloration on the surface is tan, and light yellow on the underside. ．分布：非洲南部、東部和中部。生活在熱帶乾燥草原、岩石丘陵和海岸樹林中。 Distribution: Southern, Eastern and Central parts of Africa. It is found in dry tropical savannas, steppes, and coastal forests.  				Lizard-SP	巨板蜥	http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Lizard-SP/Lizard-SP_Pic01.jpg	巨板蜥	http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Lizard-SP/Lizard-SP_Pic02.jpg	巨板蜥	http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Lizard-SP/Lizard-SP_Pic03.jpg	巨板蜥	http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Lizard-SP/Lizard-SP_Pic04.jpg												2015-06-03	43
印度星龜				MULTIPOINT ((121.5898494 24.9940697))	兩棲爬蟲動物館	兩棲爬蟲動物館	Indian star tortoise	Geochelone elegans	脊索動物門	爬蟲綱	龜鱉目	陸龜科		印度中、南部，斯里蘭卡、巴基斯坦附近區域	主要的棲地型式為乾燥的草原、灌木叢林或是廢棄的農地。活動的區域則大多為乾燥的土塊或落葉所堆積而成的貧瘠環境	殼具放射狀花紋分布，盾片具星形圖案（一星多具有六條花紋），尾盾板不分裂。底色為黑褐色，斑點、條紋、腹面為黃色。棒狀四肢。盾片形成高聳的圓拱形	晨昏	植物性	人類大量捕捉及棲息地受破壞，現在野外的存量已少	印度星龜 Indian star tortoise ．特徵：體型中型，頭部鱗片明顯，背甲圓凸，盾片各自呈高聳的圓錐狀，四肢發達結實，鱗片粗厚，具有利爪。頭部、四肢和尾巴均為黃色或淡褐色，背甲黃色帶有黑色放射狀斑紋，腹甲為黃色，上有黑色放射狀斑紋。 ．分布：南亞的印度、巴基斯坦和斯里蘭卡。生活在沙漠、乾燥草原、灌叢和熱帶落葉林。 體長：28-38 cm 食性：植物 習性：晨、昏活動				Tortoise-IS																				2015-06-03	44
地毯莫瑞蟒				MULTIPOINT ((121.5898494 24.9940697))	兩棲爬蟲動物館	兩棲爬蟲動物館	Carpet python	Morelia spilota	脊索動物門	爬蟲綱	有鱗目	蟒科		澳洲北部、東部、西南部和新幾內亞南部	熱帶雨林和乾燥草原等多樣環境	大型蛇類，頭部背面鱗片細小，吻鱗、前面上唇鱗和後面下唇鱗具有感熱的唇窩。體色因不同的地理環境而有所差異，一般為黃色或淡褐色，上面有許多黑色或暗褐色的斑紋所形成類似地毯複雜的圖案因而得名。	夜行性	爬蟲類、鳥類、小型哺乳類		地毯莫瑞蟒Carpet python ．特徵：大型蛇類，頭部背面鱗片細小，吻鱗、前面上唇鱗和後面下唇鱗具有感熱的唇窩。體色因不同的地理環境而有所差異，一般為黃色或淡褐色，上面有許多黑色或暗褐色的斑紋所形成類似地毯複雜的圖案因而得名。 Characteristics: A large python with tiny scales on the back of the head, snout scales, and thermoreceptive labial pits on both lips. Its colors varies highly according to different geological environments but typically is either yellow or light brown covered with intricate, carpet-like markings made up of black or dark brown bands, to which it is so named. ．分布：澳洲北部、東部、西南部和新幾內亞南部的熱帶雨林和乾燥草原等多樣環境。 Distribution: It is found in Northern, Eastern and Southwestern regions of Australia and Southern Papua New Guiana occurring to a wide variety of habitats such as tropical rain forests and dry grasslands.				Python-C																				2015-06-03	45
百步蛇				MULTIPOINT ((121.5898494 24.9940697))	兩棲爬蟲動物館	兩棲爬蟲動物館	Hundred-pace Viper(Chinese Moccasin)	Deinagkistrodon acutus	脊索動物門	爬蟲綱	有鱗目	腹蛇科		臺灣東南部、越南和中國東南部和西南部，以高雄、屏東、臺東、花蓮和宜蘭山區為主	棲息於山區進溪流處森林底層	中大型蛇類，體型粗胖，體長可達150cm，吻肛長約雌蛇尾長的6.5倍到雄蛇的7.5倍。頭呈三角形，吻端上翹，狀似枯葉，眼與鼻孔間具有頰窩。身體兩側有許多三角形的深褐色斑紋連續排列。頭頂為深褐色，並具有對稱的大型鱗片。	以蛙類、蟾蜍、蛇類、蜥蜴、鳥類和鼠類為食，攝食策略採坐等型。卵生，多在11月到隔年3月交配，6~8月產卵，每次可產11~35枚。							Viper-HP																				2015-06-03	46
西部豬鼻蛇				MULTIPOINT ((121.5898494 24.9940697))	兩棲爬蟲動物館	兩棲爬蟲動物館	Western hognose snake	Heterodon nasicus	脊索動物門	爬蟲綱	有鱗目	黃頷蛇科		北美洲。從加拿大南部經美國中部到墨西哥東北部	生活在具鬆軟土質的草原、灌叢、開闊樹林、農墾地和沙漠	體型粗短，吻端尖短上翹，尾巴很短，身體鱗片粗糙具有稜脊。身體背部為淡褐色、黃褐色或紅褐色，沿背中央線和體側，各有一列深褐色或黑褐色的斑紋，腹部為黑色，上有許多土黃色小斑紋。體長：40-90 cm	多在清晨或傍晚活動，屬於日型性的地棲蛇類	善於鑽土捕食藏在地下的蟾蜍類，也會捕食其他爬蟲類，偶爾也會捕食小型哺乳類或鳥類，在飼養環境下可餵食小老鼠		中名：西部豬鼻蛇  英名：Western hognose snake 學名：Heterodon nasicus ．特徵：體型粗短，吻端尖短上翹，尾巴很短，身體鱗片粗糙具有稜脊。身體背部為淡褐色、黃褐色或紅褐色，沿背中央線和體側，各有一列深褐色或黑褐色的斑紋，腹部為黑色，上有許多土黃色小斑紋。 ．分布：北美洲。從加拿大南部經美國中部到墨西哥東北部。生活在具鬆軟土質的草原、灌叢、開闊樹林、農墾地和沙漠。 ．食性：兩棲類、爬蟲類、鳥類、哺乳類				Snake-WH																				2015-06-03	47
